Year,Score,Count,Percent
2007,True,70,29.411764705882355
2007,Half-True,55,23.10924369747899
2007,Mostly True,43,18.067226890756302
2007,False,34,14.285714285714285
2007,Mostly False,26,10.92436974789916
2007,Pants on Fire!,10,4.201680672268908
2008,True,140,24.263431542461007
2008,False,110,19.064124783362217
2008,Half-True,100,17.33102253032929
2008,Mostly True,90,15.597920277296359
2008,Mostly False,85,14.731369150779896
2008,Pants on Fire!,39,6.759098786828423
2009,False,112,25.225225225225223
2009,Half-True,76,17.117117117117118
2009,True,75,16.89189189189189
2009,Mostly True,62,13.963963963963963
2009,Mostly False,61,13.73873873873874
2009,Pants on Fire!,43,9.684684684684685
2010,Half-True,344,21.59447583176397
2010,False,306,19.2090395480226
2010,True,264,16.57250470809793
2010,Mostly True,249,15.630885122410545
2010,Mostly False,235,14.752040175768991
2010,Pants on Fire!,148,9.290646578782171
2011,False,405,20.758585340850846
2011,Half-True,364,18.657098923628908
2011,Mostly True,361,18.503331624807792
2011,True,336,17.221937467965144
2011,Mostly False,284,14.556637621732445
2011,Pants on Fire!,164,8.40594566888775
2012,Half-True,427,21.554770318021202
2012,False,379,19.131751640585563
2012,Mostly False,340,17.163048965169107
2012,Mostly True,327,16.506814740030286
2012,True,323,16.304896516910652
2012,Pants on Fire!,162,8.17768803634528
2013,Mostly True,326,22.607489597780862
2013,Half-True,311,21.56726768377254
2013,Mostly False,233,16.158113730929266
2013,True,224,15.53398058252427
2013,False,221,15.325936199722607
2013,Pants on Fire!,104,7.212205270457697
2014,Mostly True,333,21.237244897959183
2014,Half-True,294,18.75
2014,False,287,18.303571428571427
2014,Mostly False,286,18.239795918367346
2014,True,209,13.329081632653061
2014,Pants on Fire!,140,8.928571428571429
2015,Mostly True,301,23.118279569892472
2015,Half-True,246,18.89400921658986
2015,Mostly False,239,18.35637480798771
2015,False,214,16.43625192012289
2015,True,185,14.208909370199693
2015,Pants on Fire!,96,7.373271889400922
2016,Mostly True,375,21.404109589041095
2016,Half-True,360,20.54794520547945
2016,Mostly False,318,18.15068493150685
2016,False,313,17.86529680365297
2016,True,211,12.04337899543379
2016,Pants on Fire!,157,8.961187214611872
2017,Pants on Fire!,290,22.816679779701023
2017,False,231,18.174665617623916
2017,Mostly False,214,16.837136113296616
2017,Mostly True,214,16.837136113296616
2017,Half-True,203,15.971675845790717
2017,True,106,8.339889850511408
2018,False,312,22.413793103448278
2018,Mostly False,268,19.25287356321839
2018,Pants on Fire!,261,18.75
2018,Half-True,236,16.954022988505745
2018,Mostly True,189,13.577586206896552
2018,True,109,7.830459770114942
2019,False,215,28.439153439153444
2019,Pants on Fire!,150,19.841269841269842
2019,Mostly True,110,14.550264550264549
2019,Mostly False,106,14.02116402116402
2019,Half-True,102,13.492063492063492
2019,True,64,8.465608465608465
