,Date,In reality,Link,PolitiFact source,Score,Source,Statement
0,"on Thursday, July 25th, 2019",Needs context,/punditfact/statements/2019/jul/25/roland-martin/have-trump-judicial-nominees-refused-comment-brown/,— PunditFact,Mostly True,Roland Martin,"Republicans ""are advancing federal judges who won't even say that Brown vs. Board of Education was properly decided."""
1,"on Tuesday, July 23rd, 2019",A joke misunderstood,/punditfact/statements/2019/jul/23/occupy-democrats/no-fox-news-not-snubbing-muellers-testimony/,— PunditFact,False,Occupy Democrats,"""Fox ‘News’ just announced that they will not air Mueller’s testimony about his report, which they claim ‘exonerates’ Trump."""
2,"on Monday, July 15th, 2019",It didn't go away,/punditfact/statements/2019/jul/15/rush-limbaugh/limbaugh-wrongly-blames-obama-no-census-citizenshi/,— PunditFact,False,Rush Limbaugh,"""Somebody in the Obama regime decided to get rid of"" the citizenship question in the census."
3,"on Tuesday, July 2nd, 2019",They support a different approach,/punditfact/statements/2019/jul/02/jess-mcintosh/cnn-panelist-misses-mark-gop-support-medicare-all/,— PunditFact,Mostly False,Jess McIntosh,"""Fifty percent of Republicans are in favor of Medicare for All."""
4,"on Monday, July 1st, 2019",Racial gap has persisted for years,/punditfact/statements/2019/jul/01/ta-nehisi-coates/seeking-reparations-ta-nehisi-coates-says-typical-/,— PunditFact,True,Ta-Nehisi Coates,"""The typical black family in this country has one-tenth the wealth of the typical white family."""
5,"on Tuesday, June 25th, 2019",Part of a larger trend,/punditfact/statements/2019/jun/25/charles-payne/fox-business-host-wrongly-claimed-market-crashed-i/,— PunditFact,Mostly False,Charles Payne,"""When President Obama was elected, the market crashed … Trump was up 9%, President Obama was down 14.8% and President Bush was down almost 4%. There is an instant reaction on Wall Street."""
6,"on Thursday, June 13th, 2019",He resigned first,/punditfact/statements/2019/jun/13/jimmy-kimmel/no-nixon-was-never-officially-impeached-he-resigne/,— PunditFact,False,Jimmy Kimmel,"""Richard Nixon was the last president to be impeached."""
7,"on Wednesday, May 15th, 2019",What's in a name?,/punditfact/statements/2019/may/15/anthony-scaramucci/mooch-missteps-chinas-wto-misbehavior/,— PunditFact,Half-True,Anthony Scaramucci,"China’s developing country status in the World Trade Organization ""means they can tariff and embargo."""
8,"on Friday, May 10th, 2019",Exaggerates slightly,/punditfact/statements/2019/may/10/joel-griffith/some-countries-ditched-wealth-taxes-what-might-mea/,— PunditFact,Mostly True,Joel Griffith,"""Of the 14 wealthy OECD countries with a wealth tax in 1996, 10 have since then abandoned it."""
9,"on Wednesday, April 10th, 2019",Not a myth,/punditfact/statements/2019/apr/10/candace-owens/candace-owens-pants-fire-statement-southern-strate/,— PunditFact,False,Candace Owens,"The Southern strategy is a ""myth"" that ""never happened."""
10,"on Thursday, March 21st, 2019",Misreads history,/punditfact/statements/2019/mar/21/katie-pavlich/conservative-pundit-gets-schooled-history-american/,— PunditFact,False,Katie Pavlich,"""America came along as the first country to end (slavery) within 150 years."""
11,"on Wednesday, March 13th, 2019","Slight edge on jobs, not stocks",/punditfact/statements/2019/mar/13/matthew-dowd/did-obamas-final-years-beat-trump-jobs-stock-value/,— PunditFact,Half-True,Matthew Dowd,"""Job growth and stock growth for the first two years of Trump are down from where they were (during the) last two years of Obama."""
12,"on Tuesday, March 5th, 2019",Let's check the tape,/punditfact/statements/2019/mar/05/zerlina-maxwell/was-bernie-sanders-mute-race-gender-top-his-2020-k/,— PunditFact,False,Zerlina Maxwell,"Says Bernie Sanders ""did not mention race or gender until 23 minutes into this speech"" announcing his 2020 presidential run."
13,"on Tuesday, February 26th, 2019","It's bad in some places, not everywhere",/punditfact/statements/2019/feb/26/heidi-heitkamp/does-us-have-record-bankruptcies-farm-country/,— PunditFact,Mostly False,Heidi Heitkamp,"""We have record bankruptcies in farming country."""
14,"on Tuesday, February 19th, 2019",Overheated rhetoric,/punditfact/statements/2019/feb/19/rush-limbaugh/scientists-response-rush-limbaughs-climate-denial-/,— PunditFact,False,Rush Limbaugh,"""Climate change is nothing but a bunch of computer models that attempt to tell us what's going to happen in 50 years or 30. Notice the predictions are never for next year or the next 10 years. They're always for way, way, way, way out there, when none of us are going to be around or alive to know whether or not they were true."""
15,"on Wednesday, February 6th, 2019",Poll didn't ask about a 70% rate,/punditfact/statements/2019/feb/06/michael-moore/70-americans-favor-70-tax-rich-according-fox-news-/,— PunditFact,Mostly False,Michael Moore,"""Seventy percent of the American public agree with"" Alexandria Ocasio-Cortez ""on having the top marginal (tax) rate for the rich"" at 70 percent, and ""that's a Fox News Poll saying that."""
16,"on Thursday, January 24th, 2019",How soaked are the rich?,/punditfact/statements/2019/jan/24/maria-bartiromo/fox-news-host-clashes-ocasio-cortez-over-taxing-ri/,— PunditFact,Mostly False,Maria Bartiromo,"""According to the Tax Foundation, the top 10 percent of earners already pay almost 80 percent of all taxes."""
17,"on Tuesday, January 22nd, 2019",Bar none,/punditfact/statements/2019/jan/22/chuck-woolery/no-evidence-back-claim-about-pelosi-bar-tab/,— PunditFact,Pants on Fire!,Chuck Woolery,"""Nancy Pelosi's bill for alcohol on her flights from Washington to San Fran every week? We pay for it. 1000 dollars. On average 52,000 Bucks, a year for BOOZE. Tax payer money."""
18,"on Friday, January 11th, 2019",Border stops,/punditfact/statements/2019/jan/11/sean-hannity/how-many-criminal-aliens-were-stopped-border-last-/,— PunditFact,Half-True,Sean Hannity,"""17,000 individuals with criminal records were apprehended trying to cross the border"" in 2018."
19,"on Wednesday, November 28th, 2018",Cold spells on back burner,/punditfact/statements/2018/nov/28/danielle-pletka/recent-cold-spells-irrelevant-climate-change-big-p/,— PunditFact,False,Danielle Pletka,"""We need to also recognize that we just had two of the coldest years, biggest drop in global temperatures that we have had since the 1980s, the biggest in the last 100 years. We don't talk about that."""
20,"on Friday, November 16th, 2018",Baseless claim,/punditfact/statements/2018/nov/16/lou-dobbs/no-evidence-many-illegal-immigrants-voted-midterm-/,— PunditFact,Pants on Fire!,Lou Dobbs,"""We are watching, you know, millions of illegal immigrants cross our borders, and many of them voting in the past election that's what, just a couple weeks ago."""
21,"on Wednesday, November 14th, 2018","D, not R",/punditfact/statements/2018/nov/14/andrea-mitchell/broward-county-elections-supervisor-brenda-snipes-/,— PunditFact,False,Andrea Mitchell,"Says ""Brenda Snipes in Broward County is a Republican."""
22,"on Tuesday, November 13th, 2018",Manufactured accusation,/punditfact/statements/2018/nov/13/ken-blackwell/no-evidence-democrats-and-their-allies-manufacturi/,— PunditFact,Pants on Fire!,Ken Blackwell,"""Democrats and their allies (...) are manufacturing voters."""
23,"on Tuesday, November 6th, 2018",Pally rally,/punditfact/statements/2018/nov/06/sean-hannity/hannity-vows-not-appear-onstage-trump-rally-then-h/,— PunditFact,Full Flop,Sean Hannity,On being on stage campaigning with the president
24,"on Thursday, October 25th, 2018",Baseless,/punditfact/statements/2018/oct/25/alex-jones/no-evidence-deep-state-behind-explosive-packages/,— PunditFact,False,Alex Jones,"Says explosive devices mailed to prominent Democrats and Trump critics confirm the ""deep state (is) launching false flag against (mainstream media)/Dems to blame Trump & pro-America forces."""
25,"on Tuesday, October 16th, 2018",Letter of the law?,/punditfact/statements/2018/oct/16/andrea-mitchell/can-congress-force-donald-trump-investigate-missin/,— PunditFact,Mostly True,Andrea Mitchell,"A letter to President Donald Trump from 22 senators ""is a way of saying to the president, ‘You are now under an affirmative requirement, legal requirement, to investigate' "" journalist Jamal Khashoggi’s disappearance and suspected murder."
26,"on Friday, October 12th, 2018",False verdict,/punditfact/statements/2018/oct/12/stephen-carter/no-5-4-supreme-court-rulings-are-not-rise/,— PunditFact,False,Stephen Carter,"The 5-4 decisions the Supreme Court reaches ""are going up."""
27,"on Friday, September 14th, 2018","Hannity said that, but O'Rourke didn't send text",/punditfact/statements/2018/sep/14/blog-posting/hannity-orourke-asked-help-getting-undocumented-im/,— PunditFact,True,Bloggers,"Says Sean Hannity told listeners of his radio show that ""Beto O’Rourke is asking for help in getting undocumented to vote."""
28,"on Wednesday, September 12th, 2018","Yes, though not purely GOP's fault",/punditfact/statements/2018/sep/12/joe-scarborough/will-trump-gop-create-more-debt-one-year-first-200/,— PunditFact,Mostly True,Joe Scarborough,"""President Trump’s Republican Party will create more debt in one year than was generated in the first 200 years of America’s existence."""
29,"on Friday, September 7th, 2018",ISPs under fire,/punditfact/statements/2018/sep/07/fight-future/could-net-neutrality-have-shielded-california-fire/,— PunditFact,Half-True,Fight for the Future,"""We saw the true danger of the FCC's net neutrality repeal when Verizon was caught throttling California fire fighters."""
30,"on Tuesday, August 28th, 2018",Rush to judgment,/punditfact/statements/2018/aug/28/rush-limbaugh/rush-limbaugh-falsely-claims-jacksonville-shooter-/,— PunditFact,False,Rush Limbaugh,"""It appears that the (Jacksonville) shooter was part of the Trump 'Resistance'."""
31,"on Monday, August 27th, 2018",No treason = no pardon,/punditfact/statements/2018/aug/27/blog-posting/sen-mccain-did-not-commit-treason-vietnam/,— PunditFact,Pants on Fire!,Bloggers,"""John McCain was pardoned for treason"""
32,"on Monday, August 27th, 2018",Defies logic,/punditfact/statements/2018/aug/27/ann-coulter/coulters-strange-claim-dutch-settlers-preceded-bla/,— PunditFact,Pants on Fire!,Ann Coulter,"""The Dutch (Afrikaners) were"" in South Africa ""first."""
33,"on Monday, August 27th, 2018",No black business boom,/punditfact/statements/2018/aug/27/blog-posting/black-business-ownership-didnt-increase-400-percen/,— PunditFact,False,Bloggers,"""Black business ownership jumped 400% in one year."""
34,"on Monday, August 27th, 2018",No one appointed yet,/punditfact/statements/2018/aug/27/blog-posting/no-arpaio-has-not-been-appointed-replace-sen-john-/,— PunditFact,Pants on Fire!,Bloggers,"""BREAKING: Sheriff Joe Arpaio will take over (John) McCain’s seat in the Senate."""
35,"on Monday, August 27th, 2018",Fails our truth test ,/punditfact/statements/2018/aug/27/blog-posting/no-evidence-trump-approved-us-scholarships-thousan/,— PunditFact,Pants on Fire!,Bloggers,"""US President D. Trump Approves Scholarship for 50,000 African Student to Study in USA 2018"" ​"
36,"on Friday, August 24th, 2018",He never said that,/punditfact/statements/2018/aug/24/blog-posting/no-donald-trump-not-sending-troops-south-africa/,— PunditFact,Pants on Fire!,Bloggers,"""Trump: ‘I am sending troops to South Africa and they will not leave until the killing stop and the land issue resolved.’ """
37,"on Friday, August 24th, 2018",A far out claim,/punditfact/statements/2018/aug/24/blog-posting/not-so-close-asteroid-headed-towards-earth-wont-hi/,— PunditFact,Mostly False,Bloggers,"""NASA says an asteroid bigger than a football pitch is heading towards Earth."""
38,"on Thursday, August 23rd, 2018","Worked for Hillary in 2015, then switched to Trump",/punditfact/statements/2018/aug/23/blog-posting/was-omarosa-working-clintons/,— PunditFact,Half-True,Bloggers,"""Omarosa Exposed: Turns out she was actually working for Hillary"""
39,"on Thursday, August 23rd, 2018",Drift away from this claim,/punditfact/statements/2018/aug/23/blog-posting/not-so-fast-vin-diesel-didnt-die-failed-stunt-atte/,— PunditFact,Pants on Fire!,Bloggers,"""JUST IN: Actor ‘Vin Deisel’ dies after a Failed Attempt to Perfect a Stunt on set."" ​"
40,"on Tuesday, August 21st, 2018",Granny with a gun isn't real,/punditfact/statements/2018/aug/21/blog-posting/nope-elderly-woman-ak-47-did-not-rescue-lapd-offic/,— PunditFact,Pants on Fire!,Bloggers,Says a 79-year-old woman with AK-47 rescued two LAPD officers from a street gang.
41,"on Monday, August 20th, 2018",Stolen from a satire site,/punditfact/statements/2018/aug/20/blog-posting/washington-redskins-werent-stranded-police-game/,— PunditFact,Pants on Fire!,Bloggers,"""Cops take a knee then walk out on Redskins, leaving them stranded in their locker room overnight."""
42,"on Monday, August 20th, 2018",Tower of Babble,/punditfact/statements/2018/aug/20/rudy-giuliani/giuliani-gets-facts-wrong-about-trump-tower-meetin/,— PunditFact,Pants on Fire!,Rudy Giuliani,"The Trump campaign ""didn’t know"" that Natalia Veselnitskaya ""was a representative of the Russian government. ... I don't even know if they knew she was Russian at the time."""
43,"on Monday, August 20th, 2018",Just feels that way,/punditfact/statements/2018/aug/20/blog-posting/will-being-single-kill-you/,— PunditFact,Mostly False,Bloggers,"""Science says that being single will kill you faster than obesity."""
44,"on Friday, August 17th, 2018",She didn't say that,/punditfact/statements/2018/aug/17/teapartyorg/no-nancy-pelosi-didnt-tell-democratic-candidates-l/,— PunditFact,False,teaparty.org,"""Pelosi sinks to new low, tells Dems: if you have to lie to voters to win, do it."""
45,"on Friday, August 17th, 2018",Less than meets the eye,/punditfact/statements/2018/aug/17/patriot-news-alerts/did-us-have-record-tax-haul-after-trump-tax-cuts-s/,— PunditFact,Mostly False,Patriot News Alerts,"""U.S. government reports record tax haul after Trump tax cuts spur economic growth."""
46,"on Wednesday, August 15th, 2018",He didn't say that,/punditfact/statements/2018/aug/15/blog-posting/no-kevin-bacon-did-not-say-we-are-blessed-have-don/,— PunditFact,Pants on Fire!,Bloggers,"""VIDEO Kevin Bacon Saying ‘We Are Blessed To Have Donald Trump As Our President’"""
47,"on Monday, August 6th, 2018",That's not what he said,/punditfact/statements/2018/aug/06/americanjournalreviewcom/article-wrong-clapper-said-obama-behind-trump-russ/,— PunditFact,False,AmericanJournalReview.com,"""James Clapper Flips On Live TV, Admits Obama Behind Entire Russia Witch Hunt! (Video)"""
48,"on Friday, August 3rd, 2018",Not precise enough,/punditfact/statements/2018/aug/03/blog-posting/was-massachusetts-man-targeted-hit-and-run-because/,— PunditFact,Mostly True,Bloggers,"Say a ""left wing extremist, chases down, rams car over Trump bumper sticker."""
49,"on Thursday, August 2nd, 2018","Decided, but not unprecedented",/punditfact/statements/2018/aug/02/blog-posting/how-trump-state-permitted-3-d-printed-gun/,— PunditFact,Mostly True,Bloggers,"Says Donald Trump contradicted his own administration when he said the decision to allow blueprints for 3D-printed guns to be distributed ""doesn’t seem to make much sense."""
50,"on Wednesday, August 1st, 2018",Scenarios not recommendations,/punditfact/statements/2018/aug/01/infowars/misleading-infowars-story-says-un-plans-flood-amer/,— PunditFact,False,Infowars,"""Revealed: UN plan to flood America with 600 million migrants."""
51,"on Wednesday, August 1st, 2018","Correlation, not causation",/punditfact/statements/2018/aug/01/blog-posting/misleading-headline-suggests-mccaskill-personally-/,— PunditFact,Mostly False,Bloggers,"""SHOCK REPORT: Senator McCaskill BUSTED Funneling Millions of Tax Dollars to Her Hubby."""
52,"on Wednesday, July 25th, 2018",Pinning down the facts,/punditfact/statements/2018/jul/25/blog-posting/no-abc-news-did-not-recently-ban-american-flag-pin/,— PunditFact,False,Bloggers,ABC News recently banned reporters from wearing American flag lapel pins on air.
53,"on Wednesday, July 25th, 2018",More context to consider,/punditfact/statements/2018/jul/25/supremeinsidercom/did-obama-admit-being-born-kenya/,— PunditFact,Mostly False,SupremeInsider.com,"""Barack Obama: I'm 'the First Sitting American President to Come From Kenya.'"""
54,"on Wednesday, July 25th, 2018",Verdict: False,/punditfact/statements/2018/jul/25/jeanine-pirro/jeanine-pirros-new-book-falsely-declares-russia-in/,— PunditFact,False,Jeanine Pirro,"Says Deputy Attorney General Rod Rosenstein announced in February that ""the Russia collusion investigation is over."""
55,"on Tuesday, July 24th, 2018",Doesn't hew to the facts,/punditfact/statements/2018/jul/24/hugh-hewitt/hugh-hewitt-floats-unproven-theory-about-steele-do/,— PunditFact,False,Hugh Hewitt,Says FBI agent Peter Strzok’s hearing confirmed Republican Congressman Jim Jordan’s theory about how the Justice Department got the Steele dossier.
56,"on Tuesday, July 24th, 2018",Not outright ban,/punditfact/statements/2018/jul/24/blog-posting/did-republicans-vote-make-it-legal-nationwide-ban-/,— PunditFact,Half-True,Bloggers,"""Republicans vote to make it legal nationwide to ban gays and lesbians from adopting."""
57,"on Friday, July 20th, 2018",No official connection to NASA,/punditfact/statements/2018/jul/20/blog-posting/nasa-prepping-17-year-old-become-first-human-mars/,— PunditFact,Mostly False,Bloggers,"""NASA prepping 17-year-old Alyssa Carson to become first human on Mars."""
58,"on Friday, July 20th, 2018",Lacks proof,/punditfact/statements/2018/jul/20/yournewswirecom/no-evidence-former-fbi-lawyer-lisa-page-blamed-chi/,— PunditFact,Pants on Fire!,YourNewsWire.com,"""Lisa Page squeals: DNC server was not hacked by Russians."""
59,"on Thursday, July 19th, 2018",More than a stretch,/punditfact/statements/2018/jul/19/blog-posting/misleading-headline-exaggerates-connection-between/,— PunditFact,False,Bloggers,"""Hillary in hiding as police discover dead body hidden in Huma Abedin’s dumpster."""
60,"on Wednesday, July 18th, 2018","Illegal, alive or dead",/punditfact/statements/2018/jul/18/blog-posting/fake-news-clint-eastwood-soon-leave-millions-trump/,— PunditFact,Pants on Fire!,Bloggers,"""Clint Eastwood Leaves His Estate To The Trump 2020 Campaign"""
61,"on Wednesday, July 18th, 2018",She didn't say that,/punditfact/statements/2018/jul/18/blog-posting/no-queen-elizabeth-did-not-side-donald-trump-immig/,— PunditFact,Pants on Fire!,Bloggers,"Says Queen Elizabeth said, ""Muslim refugees are dividing nationality, I fully agree with Donald Trump we should deport them to avoid bloody terrorist attacks."""
62,"on Wednesday, July 18th, 2018",We'll have to testify against this story,/punditfact/statements/2018/jul/18/blog-posting/no-evidence-woman-who-died-home-explosion-was-test/,— PunditFact,Pants on Fire!,Bloggers,"""Woman set to testify against Clintons blown up in home explosion."""
63,"on Tuesday, July 17th, 2018",No laughing matter,/punditfact/statements/2018/jul/17/sean-hannity/sean-hannity-cites-misleading-obama-quote-coverage/,— PunditFact,Mostly False,Sean Hannity,"""In 2016, when Hillary Clinton appeared to have a firm lead in the polls — oh, just before the election, it was President Obama who laughed off any notion that American elections could possibly be tampered with."""
64,"on Monday, July 16th, 2018",Reports of 40-lb rats a hoax,/punditfact/statements/2018/jul/16/blog-posting/good-news-no-man-eating-rats-nyc/,— PunditFact,Pants on Fire!,Bloggers,"""Giant rats plague New York City as 4 homeless men found eaten alive"""
65,"on Monday, July 16th, 2018",Number is astronomically high ,/punditfact/statements/2018/jul/16/blog-posting/dont-believe-nasa-will-pay-you-100000-stay-bed/,— PunditFact,False,Bloggers,"""NASA will pay you $100,000 to stay in bed for 60 days!"""
66,"on Friday, July 13th, 2018",Didn't say that,/punditfact/statements/2018/jul/13/bling-news/fake-headline-says-new-york-times-said-trump-would/,— PunditFact,Pants on Fire!,Bling News,"""In 1984, the New York Times said Trump would be our BEST president."""
67,"on Thursday, July 12th, 2018",Still in office,/punditfact/statements/2018/jul/12/yournewswirecom/no-broward-sheriff-scott-israel-was-not-fired-gov-/,— PunditFact,Pants on Fire!,YourNewsWire.com,"""Broward County Sheriff fired for lying about Parkland."""
68,"on Thursday, July 12th, 2018",Said by the pope? Nope,/punditfact/statements/2018/jul/12/blog-posting/blog-post-twists-popes-words-about-migrants-and-na/,— PunditFact,Half-True,Bloggers,"Say ""Pope says that the rights of Muslim migrants trump any safety concerns that you might have with them in your country."""
69,"on Thursday, July 12th, 2018","Fuzzy, 16-year-old estimate",/punditfact/statements/2018/jul/12/nicholas-burns/do-european-allies-pay-us-25-billion-yearly-keep-t/,— PunditFact,Half-True,Nicholas Burns,"European allies ""pay us $2.5 billion a year to keep our forces there. It would cost us more money to bring the troops home than to keep them in Europe."""
70,"on Wednesday, July 11th, 2018",He's spoken consistently against it,/punditfact/statements/2018/jul/11/danielle-pletka/was-bernie-sanders-fine-russian-annexation-crimea-/,— PunditFact,False,Danielle Pletka,"Says Bernie Sanders was indifferent to Russia's annexation of Crimea because he felt ""they have a lot of Russians anyway."""
71,"on Wednesday, July 11th, 2018",No clear leaning pro or con,/punditfact/statements/2018/jul/11/andrew-napolitano/napolitano-court-pick-kavanaugh-pro-obamacare-he/,— PunditFact,Mostly False,Andrew Napolitano,"Says Brett Kavanaugh is ""pro-Obamacare."""
72,"on Tuesday, July 10th, 2018",Illicit guns only,/punditfact/statements/2018/jul/10/blog-posting/conservative-website-wrong-purpose-effects-un-conf/,— PunditFact,Mostly False,Bloggers,"""US representatives promise implement of UN gun-control plans"""
73,"on Tuesday, July 10th, 2018",Removed and restored,/punditfact/statements/2018/jul/10/blog-posting/did-facebook-remove-post-quoting-declaration-indep/,— PunditFact,Half-True,Bloggers,"""Facebook removes, censors Declaration of Independence as ‘hate speech’"""
74,"on Friday, July 6th, 2018",Let's be blunt: Not quite right.,/punditfact/statements/2018/jul/06/patrick-kennedy/has-marijuana-caused-emergency-room-visits-skyrock/,— PunditFact,Half-True,Patrick Kennedy,"Marijuana and THC ""have caused emergency room visits to skyrocket."""
75,"on Thursday, July 5th, 2018",Falsehood heard around the world,/punditfact/statements/2018/jul/05/diamond-and-silk/no-evidence-obama-secretly-granted-citizenship-250/,— PunditFact,False,Diamond and Silk,"""Obama secretly gave citizenship to 2,500 Iranians as part of nuke deal."""
76,"on Thursday, July 5th, 2018",Doctored image,/punditfact/statements/2018/jul/05/viral-image/phony-image-alleged-maxine-waters-called-undocumen/,— PunditFact,Pants on Fire!,Viral image,"Says Maxine Waters told CNN, ""SCOTUS pick should be illegal immigrant."""
77,"on Tuesday, July 3rd, 2018",Quotes stolen from satire,/punditfact/statements/2018/jul/03/viral-image/viral-image-criticizing-democrats-featured-fabrica/,— PunditFact,Pants on Fire!,Viral image,"Says Democratic Senators ""demand Supreme Court nominee not be unduly influenced by U.S. Constitution."""
78,"on Monday, July 2nd, 2018",Alive and kicking,/punditfact/statements/2018/jul/02/blog-posting/hoax-website-says-george-h-w-bush-died-he-didnt/,— PunditFact,Pants on Fire!,Bloggers,"""George H.W. Bush has died at 94."""
79,"on Monday, July 2nd, 2018","Arrested, but not campaign official",/punditfact/statements/2018/jul/02/blog-posting/websites-wrongly-claim-man-arrested-child-sex-char/,— PunditFact,False,Bloggers,"""Clinton campaign official arrested by FBI on child rape/trafficking charges"""
80,"on Friday, June 29th, 2018",Police report not a criminal charge,/punditfact/statements/2018/jun/29/blog-posting/loomer-maxine-waters-not-facing-criminal-charges/,— PunditFact,False,Bloggers,"""Maxine Waters Is Getting Criminally Charged!"""
81,"on Friday, June 29th, 2018",System failure,/punditfact/statements/2018/jun/29/rachel-maddow/rachel-maddow-right-there-was-no-plan-reuniting-fa/,— PunditFact,True,Rachel Maddow,"""There isn't a system"" for reuniting families separated under Trump’s zero tolerance border policy."
82,"on Friday, June 29th, 2018",Donut believe this offer,/punditfact/statements/2018/jun/29/blog-posting/free-dunkin-donuts-online-offer-scam/,— PunditFact,Pants on Fire!,Bloggers,"Say ""Dunkin' Donuts is providing a free Ḍozen Doughnut Box to everyone! to celebrate 68th Anniversary!"""
83,"on Thursday, June 28th, 2018",An old falsehood,/punditfact/statements/2018/jun/28/blog-posting/website-falsely-claimed-twitter-caught-leaking-pri/,— PunditFact,False,Bloggers,"""Twitter caught leaking Donald Trump’s private messages in undercover sting."""
84,"on Thursday, June 28th, 2018",Wrong on details and timing,/punditfact/statements/2018/jun/28/blog-posting/no-trump-supporter-did-not-try-murder-rep-maxine-w/,— PunditFact,False,Bloggers,"""A Trump fan was just charged with trying to murder Maxine Waters on same day Trump threatened her."""
85,"on Wednesday, June 27th, 2018",Asked to leave,/punditfact/statements/2018/jun/27/houston-post/no-red-hen-owner-didnt-threaten-sarah-huckabee-san/,— PunditFact,False,The Houston Post,"""Red Hen owner just issued sick threat to Sarah Sanders"""
86,"on Wednesday, June 27th, 2018",Hollywood fiction,/punditfact/statements/2018/jun/27/twentyeightmay/story-takes-actor-kurt-russells-comments-about-pol/,— PunditFact,Mostly False,Twentyeightmay,"Kurt Russell said that celebrities shouldn't ""get political"" when it comes to Donald Trump."
87,"on Wednesday, June 27th, 2018",More than a language barrier,/punditfact/statements/2018/jun/27/cal-thomas/did-hillary-clinton-support-border-wall-mexico/,— PunditFact,Half-True,Cal Thomas,"Says Hillary Clinton once ""supported a border wall until she ran for president in 2016."""
88,"on Tuesday, June 26th, 2018",This claim gets its day in court,/punditfact/statements/2018/jun/26/wolf-blitzer/majority-undocumented-immigrants-show-court-data-s/,— PunditFact,Mostly True,Wolf Blitzer,"""Most (immigrants) do show up in court."""
89,"on Monday, June 25th, 2018",Aliens? Not even close,/punditfact/statements/2018/jun/25/blog-posting/no-nasa-has-not-communicated-aliens/,— PunditFact,Pants on Fire!,Bloggers,"""NASA announced that it communicated with four races of aliens."""
90,"on Monday, June 25th, 2018",Fake news invasion,/punditfact/statements/2018/jun/25/blog-posting/mexico-presidential-candidate-call-immigration/,— PunditFact,Pants on Fire!,Bloggers,"""Mexico’s Next President Calls for An Invasion Of The US"""
91,"on Monday, June 25th, 2018",Detained together,/punditfact/statements/2018/jun/25/gateway-pundit/immigrant-girl-time-cover-wasnt-separated-mother/,— PunditFact,True,The Gateway Pundit,"""Migrant mother and ‘crying girl’ on Time cover never separated."""
92,"on Monday, June 25th, 2018",Not a scientific experiment,/punditfact/statements/2018/jun/25/blog-posting/did-obama-detain-illegal-mexican-children-experime/,— PunditFact,Mostly False,Bloggers,"""Obama administration kept illegal Mexican kids in detention camps as ‘experiment’"""
93,"on Thursday, June 21st, 2018",No such law,/punditfact/statements/2018/jun/21/blog-posting/no-bill-clinton-law-separating-families/,— PunditFact,False,Bloggers,"""Bill Clinton passed a law in 1996 that separated children from adults illegally entering America."""
94,"on Thursday, June 21st, 2018","No, O isn't trying for a third term",/punditfact/statements/2018/jun/21/blog-posting/-website-falsely-claims-obama-was-bust/,— PunditFact,Mostly False,Bloggers,"""Busted: Obama is holding secret meetings to overtake the White House"""
95,"on Wednesday, June 20th, 2018",Time to shoot down this fake news,/punditfact/statements/2018/jun/20/common-sense-news/fake-news-says-pope-called-world-wide-gun-confisca/,— PunditFact,Pants on Fire!,Common Sense News,"Says the ""Pope calls for world wide gun confiscation except for the UN"""
96,"on Tuesday, June 19th, 2018",False analogy,/punditfact/statements/2018/jun/19/matt-schlapp/no-donald-trumps-separation-immigrant-families-was/,— PunditFact,False,Matt Schlapp,"The Trump administration’s policy of separating families is ""the same way Barack Obama did it."""
97,"on Monday, June 18th, 2018","Old report, false claim",/punditfact/statements/2018/jun/18/yournewswirecom/false-headline-wrongly-links-hillary-clinton-forme/,— PunditFact,False,YourNewsWire.com,"""Senate report admits Clinton ‘gifted’ children to human traffickers"""
98,"on Monday, June 18th, 2018",Poll parity,/punditfact/statements/2018/jun/18/gateway-pundit/headline-says-trump-tied-obama-same-point-presiden/,— PunditFact,Mostly True,The Gateway Pundit,"""Trump approval rating better than Obama and Reagan at same point in their presidencies."""
99,"on Friday, June 15th, 2018",Red wave,/punditfact/statements/2018/jun/15/fareed-zakaria/yes-democratic-party-nearly-its-weakest-point-cent/,— PunditFact,True,Fareed Zakaria,"""When you tally up their representation in Congress and governorships, the Democrats almost have their lowest representation in about 100 years."""
100,"on Wednesday, June 13th, 2018",Still on air,/punditfact/statements/2018/jun/13/newsflash/hoax-continues-circulate-foxs-shepard-smith-fired/,— PunditFact,Pants on Fire!,Newsflash,"""Breaking: Shep Smith to be canned because he can’t control his hate for Donald Trump."""
101,"on Wednesday, June 13th, 2018",Not exactly what she said,/punditfact/statements/2018/jun/13/newsflash/website-misleads-about-arrests-sanctuary-cit/,— PunditFact,Mostly False,Newsflash,"""Trump’s DHS secretary confirms they are preparing to arrest sanctuary city leaders."""
102,"on Tuesday, June 12th, 2018",Fired off doesn't equal fired,/punditfact/statements/2018/jun/12/red-state-wave/no-evidence-trump-ally-mike-huckabee-was-fired/,— PunditFact,Pants on Fire!,Red State Wave,"""Breaking: Mike Huckabee just fired!"""
103,"on Tuesday, June 12th, 2018",A terrible allegation,/punditfact/statements/2018/jun/12/yournewswirecom/clickbait-headline-wrongly-blames-clintons-anthony/,— PunditFact,Pants on Fire!,YourNewsWire.com,"""Investigators: Anthony Bourdain was killed by Clinton operatives."""
