,Date,In reality,Link,PolitiFact source,Score,Source,Statement
410,"on Wednesday, June 21st, 2017","Numbers are right, amnesty definition not settled",/punditfact/statements/2017/jun/21/ann-coulter/ann-coulter-says-trump-granted-amnesty-nearly-1000/,— PunditFact,Mostly True,Ann Coulter,"The Trump administration has granted amnesty to ""nearly 100,000 'Dreamers' """
411,"on Wednesday, June 21st, 2017",A circle of lies from parody site,/punditfact/statements/2017/jun/21/blog-posting/fake-post-about-franken-resigning-was-originally-f/,— PunditFact,Pants on Fire!,Bloggers,"""Libtard hero Al Franken forced to resign in disgrace."""
412,"on Wednesday, June 21st, 2017","Actually, Trump won by less than 2 points",/punditfact/statements/2017/jun/21/joy-reid/joy-ann-reid-mistakes-size-trump-victory-georgia-d/,— PunditFact,False,Joy Reid,"In the Georgia House district that hosted a special election on June 20, ""Trump won by 20+ points."""
413,"on Tuesday, June 20th, 2017","Stay calm, carry on",/punditfact/statements/2017/jun/20/miami-gazette/report-cannibals-arrested-florida-fake-news/,— PunditFact,Pants on Fire!,TheMiamiGazette.com,"""Cannibals arrested in Florida claim eating human flesh cures diabetes and depression"""
414,"on Tuesday, June 20th, 2017",Smart money says this is pretty fake,/punditfact/statements/2017/jun/20/londonwebnewscom/kellyanne-conway-did-not-say-liberal-women-hate-he/,— PunditFact,Pants on Fire!,LondonWebNews.com,"Says Kellyanne Conway said liberal women hate her because of her ""striking beauty and intellect."""
415,"on Tuesday, June 20th, 2017",A different site by a prolific fake news operator,/punditfact/statements/2017/jun/20/freedomcrossroadsus/fake-news-pelosi-had-breakdown-credited-familiar-t/,— PunditFact,Pants on Fire!,FreedomCrossroads.us,"""Nancy Pelosi suffers breakdown, taken from Capitol Hill on a stretcher."""
416,"on Thursday, June 15th, 2017","No evidence of ""political incitement""",/punditfact/statements/2017/jun/15/new-york-times-editorial-board/no-evidence-sarah-palins-pac-incited-shooting-rep-/,— PunditFact,False,New York Times Editorial Board,A political map circulated by Sarah Palin’s PAC incited Rep. Gabby Giffords’ shooting
417,"on Thursday, June 15th, 2017",Blog post skipped real research,/punditfact/statements/2017/jun/15/teddystickcom/maxine-waters-has-not-skipped-90-percent-congressi/,— PunditFact,Pants on Fire!,TeddyStick.com,"""Democrat Maxine Waters has shown up to only 10 percent of congressional meetings for 35 years."""
418,"on Wednesday, June 14th, 2017",An annual conjunction of the Internet and fake details.,/punditfact/statements/2017/jun/14/blog-posting/its-fake-nasa-never-said-earth-will-go-dark-15-day/,— PunditFact,Pants on Fire!,Bloggers,"""NASA confirms Earth will experience 15 days of darkness In November 2017."""
419,"on Wednesday, June 14th, 2017",There isn't even a senator by that name,/punditfact/statements/2017/jun/14/blog-posting/claim-democratic-senator-busted-dea-fake-news/,— PunditFact,Pants on Fire!,Bloggers,"""The DEA just raided a United States senator — Dems in a panic."""
420,"on Tuesday, June 13th, 2017",Try to realize the truth: There is no quote.,/punditfact/statements/2017/jun/13/blog-posting/keanu-reeves-did-not-give-long-speech-attributed-h/,— PunditFact,Pants on Fire!,Bloggers,"Says Keanu Reeves gave a speech that began, ""I cannot be part of a world where men dress their wives as prostitutes by showing everything that should be cherished ..."""
421,"on Monday, June 12th, 2017",Original post was on a parody site in 2015,/punditfact/statements/2017/jun/12/antinews/years-old-story-edward-snowden-can-prove-osama-bin/,— PunditFact,Pants on Fire!,AntiNews.in,"""Edward Snowden: Osama bin Laden is still alive living in the Bahamas."""
422,"on Wednesday, June 7th, 2017",From an entertainment and humor site,/punditfact/statements/2017/jun/07/vet-tv/idea-donald-trump-will-split-marines-navy-unfounde/,— PunditFact,Pants on Fire!,Vet TV,"""Trump Removing Marines From the Navy."""
423,"on Wednesday, June 7th, 2017",Let this story crash and burn,/punditfact/statements/2017/jun/07/daily-usa-update/actor-scott-baio-healthy-after-fake-news-report-hi/,— PunditFact,Pants on Fire!,Daily USA Update,"Says ""Scott Baio .. dies in small plane crash."""
424,"on Tuesday, June 6th, 2017",He didn't say that,/punditfact/statements/2017/jun/06/uspoln/no-trumps-reported-pick-usda-chief-scientist-did-n/,— PunditFact,Pants on Fire!,Uspoln Website,"""Trump’s Top Scientist Pick: ‘Scientists Are Just Dumb Regular People That Think Dinosaurs Existed And The Earth Is Getting Warmer’"""
425,"on Tuesday, June 6th, 2017",Rumors of Monica Lewinsky’s death have been greatly exaggerated,/punditfact/statements/2017/jun/06/blog-posting/no-monica-lewinsky-was-not-murdered-shes-aliveand-/,— PunditFact,Pants on Fire!,Bloggers,"Says ""Monica Lewinsky Found Dead"" in a burglary."
426,"on Friday, June 2nd, 2017",It's all hearsay,/punditfact/statements/2017/jun/02/kimberley-strassel/did-obama-seek-back-channel-talks-iran-during-his-/,— PunditFact,False,Kimberley Strassel,"In 2008, ""candidate Obama, he's not even president-elect, sends William Miller over to Iran to establish a back channel and let the Iranians know that should he win the election, they will have friendlier terms."""
427,"on Thursday, June 1st, 2017","Old claim resurfaces, still wrong",/punditfact/statements/2017/jun/01/uspoln/blogs-fabricate-marco-rubio-quote-about-putting-ra/,— PunditFact,Pants on Fire!,Uspoln Website,"""Rubio: ‘Rape victims should be in custody if there is suspicion that they’re planning abortion.’ """
428,"on Wednesday, May 31st, 2017",We open up the law books,/punditfact/statements/2017/may/31/gregg-jarrett/fox-news-hosts-wrong-no-law-forbids-russia-trump-c/,— PunditFact,False,Gregg Jarrett,"""You can collude all you want with a foreign government in an election. There's no such statute"" (that makes collusion a crime)."
429,"on Wednesday, May 31st, 2017",Did Trump sic government watchdog on Clinton? No,/punditfact/statements/2017/may/31/blog-posting/fake-story-about-president-trump-greenlighting-con/,— PunditFact,Pants on Fire!,Bloggers,President Trump greenlighted Congress to ramp up Clinton investigation.
430,"on Tuesday, May 30th, 2017","Made-up story, made-up quote",/punditfact/statements/2017/may/30/blog-posting/pants-fire-bloggers-claim-obama-canceled-trump-rev/,— PunditFact,Pants on Fire!,Bloggers,"President Donald Trump ""announced that he would reinstate a national day of remembrance for fallen officers that the traitor before him had done away with."""
431,"on Friday, May 26th, 2017",He doesn't even have a son named Terrence,/punditfact/statements/2017/may/26/blog-posting/fake-news-posts-say-us-rep-trey-gowdys-son-found-d/,— PunditFact,Pants on Fire!,Bloggers,"Says U.S. Rep. Trey Gowdy’s 8-year-old son found dead ""in a dumpster in D.C."""
432,"on Friday, May 26th, 2017",The investigator they cite recanted his story,/punditfact/statements/2017/may/26/patriotcriercom/conspiracy-theory-comey-hid-seth-richs-ties-wikile/,— PunditFact,Pants on Fire!,PatriotCrier.com,"""(James) Comey knew murdered DNC staffer, Seth Rich, was WikiLeaks source & covered it up for Hillary (Clinton)."""
433,"on Wednesday, May 24th, 2017","Lots of lounging, but no cannabis",/punditfact/statements/2017/may/24/blog-posting/persistent-story-about-nasa-paying-people-18000-li/,— PunditFact,Pants on Fire!,Bloggers,"""NASA will pay you $18,000 to stay in bed and smoke weed for 70 straight days."""
434,"on Tuesday, May 23rd, 2017",Site raises a red flag for its shtick,/punditfact/statements/2017/may/23/theredshtickcom/trump-calling-kfcs-col-sanders-civil-war-hero-was-/,— PunditFact,Pants on Fire!,TheRedShtick.com,"""Donald Trump praises Colonel Sanders for his service in the Civil War."""
435,"on Tuesday, May 23rd, 2017",Plenty of proof it was Russia,/punditfact/statements/2017/may/23/newt-gingrich/claim-slain-dnc-staffer-seth-rich-gave-emails-wiki/,— PunditFact,Pants on Fire!,Newt Gingrich,"Democratic National Committee staffer Seth Rich ""apparently was assassinated at 4 in the morning, having given WikiLeaks something like 53,000 emails and 17,000 attachments. ... It turns out, it wasn’t the Russians."""
436,"on Monday, May 22nd, 2017",Ignores incidents other than bomb threats,/punditfact/statements/2017/may/22/dennis-prager/were-two-people-responsible-virtually-all-anti-sem/,— PunditFact,Half-True,Dennis Prager,"""It was a 100 percent lie that (Donald Trump’s) election unleashed anti-Semitism. … Hundreds of Jewish community centers had bomb threats called in. To the best of our knowledge to this day, 90 percent of them were called in by an American Jewish kid living in Israel, and the other 10 percent were a black radical who was trying to impress his girlfriend."""
